01/26/17 13:04:27:636 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | >>> Adobe Updater Log Begin >>>
01/26/17 13:04:27:636 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | Application Version: 9.0.0.15
01/26/17 13:04:27:636 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | cmdline option: -logFile = /Users/s00168853/Library/Application Support/Adobe/AAMUpdater/1.0/aamul.log
01/26/17 13:04:27:636 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | cmdline option: -logLevel = 2
01/26/17 13:04:27:636 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | StartupUtility : Loaded at startup/logon.
01/26/17 13:04:27:781 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
01/26/17 13:04:27:781 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | StartupUtility : WARNING - Updater is NOT enabled.
01/26/17 13:04:27:781 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | Updater has never been run on the machine.
01/26/17 13:04:27:781 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | StartupUtility : Window is NOT Elapsed.
01/26/17 13:04:27:781 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : inside initialize.
01/26/17 13:04:29:517 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
01/26/17 13:04:29:732 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
01/26/17 13:04:35:876 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
01/26/17 13:04:35:876 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
01/26/17 13:05:06:157 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
01/26/17 13:05:06:157 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : inside finalize.
01/26/17 13:05:06:157 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 296908 | AdobeUpdaterGoCartLauncher : unloaded goCart library
01/30/17 14:02:34:844 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 52030 | >>> Adobe Updater Log Begin >>>
