 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 47632.68 sec, current time: 508081517.05)
0.015	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.017	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.017	                       -	                   -	Blocking app contact
0.235	                       -	                   -	Successfully read encryption key from keychain in 0.219963 seconds
3.017	                       -	                   -	Allowing apps to contact us
3.018	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
9.343	                       -	                   -	Liveness: 1 -> 2 (server_show_windows_for_asns)
9.343	                       -	                   -	server_show_windows_for_asns start
9.344	                       -	                   -	TAL launch still in progress because Finder has not checked in
9.344	                       -	                   -	Still waiting for registration from Finder
9.344	                       -	                   -	Liveness: 2 -> 3 (add_app)
9.344	                       -	                   -	Finder not yet launched, but pretending it is
9.405	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, _kLSApplicationIsHiddenKey, hidden ? kCFBooleanTrue : kCFBooleanFalse, NULL) produced OSStatus -50 on line 678 in TCApplication.m
9.405	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, TAL_kLSIsProxiedForTALKey, kCFBooleanTrue, NULL) produced OSStatus -50 on line 681 in TCApplication.m
9.406	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
9.407	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
9.407	        com.apple.finder	                   -	Disposing because it has no windows
9.407	        com.apple.finder	            Disposed	
9.407	                       -	                   -	server_show_windows_for_asns end
9.450	                       -	                   -	TAL launch still in progress because Finder has not checked in
9.450	                       -	                   -	Still waiting for registration from Finder
9.451	                       -	                   -	TAL launch still in progress because Finder has not checked in
9.451	                       -	                   -	Still waiting for registration from Finder
9.698	        com.apple.finder	                   -	Finder checked in
9.698	                       -	                   -	All started apps have registered (no remaining unregistered apps)
9.701	                       -	                   -	TAL Relaunch - all apps registered as ready
9.701	                       -	                   -	Liveness: 3 -> 2 (__server_show_windows_for_asns_block_invoke30)
11.407	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
15.015	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.015	                       -	                   -	Exiting out of boredom
